WORD	FREQ	JACCARD SIMILARITY
zeit	1.0	9.023641941887746E-5
dracula	1.0	8.903926631644555E-5
transporation	1.0	9.041591320072333E-5
privity	1.0	9.039139473922083E-5
windermere	1.0	8.852691218130312E-5
deoxyribonucleic	1.0	9.03750564844103E-5
halstead	1.0	8.946944618412812E-5
aliasing	1.0	9.019572472264814E-5
tgrant	1.0	9.043226623259179E-5
yangtze	1.0	9.01631953836444E-5
repos	1.0	9.03995660820828E-5
hypothermia	1.0	9.001710324961742E-5
pnumberofprocessors	1.0	9.044044496698923E-5
retroviral	1.0	9.024456276509341E-5
polytechnicmiddlesex	1.0	9.044044496698923E-5
aquitaine	1.0	9.013881377321075E-5
mrchin	1.0	9.044044496698923E-5
nuestra	1.0	9.036688957166094E-5
bounty	1.0	8.897588753447816E-5
bedside	1.0	8.869966294128082E-5
overpayments	1.0	9.039139473922083E-5
shrike	1.0	8.968609865470852E-5
clearup	1.0	9.024456276509341E-5
mcgraw	1.0	9.009820704567979E-5
bardhan	1.0	9.03995660820828E-5
rodakowski	1.0	9.039139473922083E-5
interswitch	1.0	9.044044496698923E-5
scc	1.0	8.979885057471264E-5
netiquette	1.0	9.027715085311908E-5
acutely	1.0	8.911067545891998E-5
opensrs	1.0	9.043226623259179E-5
ukxira	1.0	9.026085386767759E-5
kitty	1.0	8.907098957869422E-5
fullinformation	1.0	9.043226623259179E-5
worrall	1.0	9.013881377321075E-5
onetimesetup	1.0	9.044044496698923E-5
podiatry	1.0	8.96941429724639E-5
befriending	1.0	9.021199819576004E-5
evac+chair	1.0	9.043226623259179E-5
mutants	1.0	9.035872413481521E-5
sapsales	1.0	9.044044496698923E-5
biophysics	1.0	9.002520705797624E-5
francesco	1.0	8.985533291400844E-5
northwards	1.0	8.98391878537418E-5
portorosa	1.0	9.042408897730355E-5
meganissi	1.0	9.044044496698923E-5
antifouling	1.0	9.039139473922083E-5
surprised	1.0	8.930963650977941E-5
dendrochronology	1.0	9.026900162484202E-5
girovend	1.0	9.039139473922083E-5
brite	1.0	9.024456276509341E-5
applyed	1.0	9.040773890245005E-5
sei	1.0	9.017132551848512E-5
dander	1.0	9.034239768723462E-5
whiteclawed	1.0	9.030976248532467E-5
yoga	1.0	8.654262224145392E-5
seb	1.0	8.935751943526048E-5
televisual	1.0	9.019572472264814E-5
flooring	1.0	8.689607229753215E-5
seo	1.0	8.653513326410523E-5
francesca	1.0	8.959770629871875E-5
marbles	1.0	9.024456276509341E-5
physicotechnical	1.0	9.043226623259179E-5
xenograft	1.0	9.03179190751445E-5
fraser	1.0	8.484642796538266E-5
incidenthandling	1.0	9.043226623259179E-5
sek	1.0	9.035872413481521E-5
afield	1.0	8.715356458079135E-5
finchley	1.0	8.889679082585119E-5
universiteitsplein	1.0	9.044044496698923E-5
peril	1.0	8.792754770069463E-5
cathy	1.0	8.663259118080222E-5
sandhillls	1.0	9.044044496698923E-5
acton	1.0	8.855042946958293E-5
smartmedia	1.0	9.03750564844103E-5
breaksea	1.0	9.041591320072333E-5
spf	1.0	9.001710324961742E-5
spl	1.0	8.984725965858041E-5
debdale	1.0	9.043226623259179E-5
rehavam	1.0	9.044044496698923E-5
janice	1.0	8.92379082634303E-5
dreamy	1.0	8.96941429724639E-5
ilts	1.0	9.042408897730355E-5
sddu	1.0	9.040773890245005E-5
analysing	1.0	8.99685110211426E-5
wyse	1.0	9.035056017347308E-5
herpes	1.0	8.957362952346828E-5
territorials	1.0	9.03342366757001E-5
hicare	1.0	9.032607713846988E-5
httpwwwcardguidecouktransfershtml	1.0	9.044044496698923E-5
archaeology	1.0	7.654623392529088E-5
infc	1.0	9.022827754218172E-5
disenfranchise	1.0	8.990380293086398E-5
archivehsm	1.0	9.044044496698923E-5
windy	1.0	8.74355163067238E-5
proximal	1.0	9.004141905276428E-5
channels	1.0	8.966197435667533E-5
wwwcouncilexchangesorguk	1.0	9.044044496698923E-5
metadistricts	1.0	9.044044496698923E-5
scorer	1.0	8.818342151675486E-5
phosphorescence	1.0	9.024456276509341E-5
informtion	1.0	9.040773890245005E-5
sos	1.0	8.896005693443644E-5
divergent	1.0	8.94534394847482E-5
maritns	1.0	9.044044496698923E-5
garmin	1.0	9.01631953836444E-5
acoustic	1.0	8.199409642505739E-5
abuses	1.0	9.030976248532467E-5
privatised	1.0	8.899172376968942E-5
blantyre	1.0	9.023641941887746E-5
aerosols	1.0	9.03995660820828E-5
cutdown	1.0	9.030976248532467E-5
outfall	1.0	9.004952723998198E-5
brocade	1.0	9.013068949977468E-5
alcatel	1.0	8.893632159373888E-5
crosstalk	1.0	9.007386056566384E-5
sry	1.0	9.041591320072333E-5
staplehurst	1.0	9.03342366757001E-5
cloning	1.0	8.99847026005579E-5
earner	1.0	8.87154009936125E-5
spitball	1.0	9.043226623259179E-5
srw	1.0	9.032607713846988E-5
srs	1.0	8.99604174163368E-5
srp	1.0	8.988764044943821E-5
bumthang	1.0	9.034239768723462E-5
rebecca	1.0	8.49762066621346E-5
mesenchymal	1.0	9.03750564844103E-5
znfe	1.0	9.044044496698923E-5
preprocessing	1.0	9.008197459688316E-5
bran	1.0	8.993614533681087E-5
carmicino	1.0	9.044044496698923E-5
stifle	1.0	8.826904404625298E-5
hertz	1.0	8.968609865470852E-5
brad	1.0	8.784258608573436E-5
gilchrist	1.0	8.965393580778196E-5
charleville	1.0	9.022013713460844E-5
physiologically	1.0	9.01144453455889E-5
intersector	1.0	9.043226623259179E-5
src	1.0	8.9126559714795E-5
srb	1.0	8.958165367732689E-5
graft	1.0	8.857395925597875E-5
schedules	1.0	8.974243919949744E-5
phenomenally	1.0	9.009009009009009E-5
hirsch	1.0	9.004141905276428E-5
firearms	1.0	8.973438621679828E-5
holly	1.0	8.674531575294934E-5
redirreffloor	1.0	9.044044496698923E-5
coffer	1.0	8.972633467922836E-5
rdbrdc	1.0	9.044044496698923E-5
bepel	1.0	9.044044496698923E-5
tynecastle	1.0	9.030160736861116E-5
hdlc	1.0	9.03179190751445E-5
archivehub	1.0	9.043226623259179E-5
pedal	1.0	8.588114050154586E-5
ss+	1.0	9.042408897730355E-5
harvester	1.0	8.987956138774042E-5
pleasingly	1.0	9.017132551848512E-5
chichicastenango	1.0	9.043226623259179E-5
scheduler	1.0	8.981498113885396E-5
infarct	1.0	9.038322487346348E-5
thriller	1.0	8.708525646608029E-5
fifo	1.0	9.026900162484202E-5
monteverde	1.0	8.983111749910169E-5
commuter	1.0	8.737439930100481E-5
patellofemoral	1.0	8.99199712256092E-5
righthand	1.0	8.781944322472996E-5
crediting	1.0	9.03995660820828E-5
reassessed	1.0	9.026085386767759E-5
competency	1.0	8.52224305437191E-5
tlco	1.0	9.044044496698923E-5
registrymis	1.0	9.044044496698923E-5
holsgrove	1.0	9.022013713460844E-5
minimallyinvasive	1.0	9.044044496698923E-5
fifa	1.0	8.815232722143864E-5
leven	1.0	8.96780557797507E-5
shenstone	1.0	9.036688957166094E-5
herts	1.0	8.62217623728229E-5
newmarket	1.0	8.869179600886918E-5
substantiate	1.0	8.908685968819599E-5
centurion	1.0	8.992805755395684E-5
ilness	1.0	9.042408897730355E-5
jacobs	1.0	8.87705281846427E-5
macrobert	1.0	9.03342366757001E-5
telecom	1.0	8.70170553428472E-5
wings	1.0	8.92379082634303E-5
sld	1.0	8.984725965858041E-5
inhaler	1.0	8.991188635137565E-5
consternation	1.0	8.988764044943821E-5
contiguous	1.0	8.972633467922836E-5
merthyr	1.0	8.93016610108948E-5
sharedand	1.0	9.044044496698923E-5
polytechnic	1.0	8.863676653075696E-5
